AUROC,AUPRC,MCC,Accuracy,F1,threshold,MCC_tuned,Accuracy_tuned,F1_tuned,threshold_tuned,fold,model,featurization,target,split,epochs_run,best_epoch,best_score,es_triggered,monitor,min_epochs,max_epochs,patience,min_delta,run_tag
0.7911446003648664,0.788624605837752,0.4274293242546614,0.7087406555491662,0.6737520128824477,0.5,0.3600480615428767,0.6483611270845313,0.5094263939029282,0.6196638345718384,3,chemprop,exp_1_default_parity_multitask,F/L_class,train,39,28,0.4264899492263794,True,val_loss,10,75,10,1e-05,exp1_default_parity
0.693185595567867,0.6908090328122194,0.27932777768580097,0.6368421052631579,0.5964912280701754,0.5,0.3195369164233518,0.6210526315789474,0.4375,0.6196638345718384,3,chemprop,exp_1_default_parity_multitask,F/L_class,val,39,28,0.4264899492263794,True,val_loss,10,75,10,1e-05,exp1_default_parity
0.8114127423822715,0.8288579765640453,0.39511788552268245,0.6947368421052632,0.6666666666666666,0.5,0.4566330129477155,0.6789473684210526,0.5343511450381679,0.6196638345718384,3,chemprop,exp_1_default_parity_multitask,F/L_class,test,39,28,0.4264899492263794,True,val_loss,10,75,10,1e-05,exp1_default_parity
0.8969872567929655,0.8991088940367484,0.6188065326492289,0.8085106382978723,0.8155124653739613,0.5,0.6161201324635172,0.8021851638872916,0.780891719745223,0.6831154227256775,4,chemprop,exp_1_default_parity_multitask,R/S_class,train,44,33,0.41762909293174744,True,val_loss,10,75,10,1e-05,exp1_default_parity
0.8213850415512466,0.8241650045671546,0.47410465593076045,0.7368421052631579,0.7422680412371134,0.5,0.4921545663875499,0.7421052631578947,0.7167630057803468,0.6831154227256775,4,chemprop,exp_1_default_parity_multitask,R/S_class,val,44,33,0.41762909293174744,True,val_loss,10,75,10,1e-05,exp1_default_parity
0.7900277008310249,0.7744953666057381,0.4638007234913623,0.7315789473684211,0.7384615384615385,0.5,0.4805487796897489,0.7368421052631579,0.7126436781609196,0.6831154227256775,4,chemprop,exp_1_default_parity_multitask,R/S_class,test,44,33,0.41762909293174744,True,val_loss,10,75,10,1e-05,exp1_default_parity
0.9965031161120868,0.9965332116843276,0.936238479912526,0.9680851063829787,0.9682766504715633,0.5,0.9242955307947135,0.9614721104082806,0.9624860022396416,0.3104967474937439,4,chemprop,exp_1_default_parity_multitask,@/@@_class,train,44,33,0.41762909293174744,True,val_loss,10,75,10,1e-05,exp1_default_parity
0.9966759002770084,0.9967756406488488,0.8947368421052632,0.9473684210526315,0.9473684210526315,0.5,0.9387162078135656,0.968421052631579,0.9693877551020408,0.3104967474937439,4,chemprop,exp_1_default_parity_multitask,@/@@_class,val,44,33,0.41762909293174744,True,val_loss,10,75,10,1e-05,exp1_default_parity
0.9867036011080332,0.9868536660305277,0.8842595171198449,0.9421052631578948,0.9417989417989417,0.5,0.873877889138876,0.9368421052631579,0.9375,0.3104967474937439,4,chemprop,exp_1_default_parity_multitask,@/@@_class,test,44,33,0.41762909293174744,True,val_loss,10,75,10,1e-05,exp1_default_parity
0.8122857848611216,0.8121887465712293,0.4550029238011065,0.726279470960322,0.7397484964461455,0.5,0.4545010017863301,0.7239792984473835,0.7454931071049841,0.4796801209449768,4,chemprop,exp_1_default_parity_multitask,F/L_class,train,44,33,0.41762909293174744,True,val_loss,10,75,10,1e-05,exp1_default_parity
